paper_id,source,mode,judge_accuracy_run1,judge_accuracy_run2,judge_accuracy_run3,mean_accuracy,std_accuracy,range_accuracy
PXD041681,hamlet_raw,strict,0.8,0.8,0.8,0.8000000000000002,1.3597399555105182e-16,0.0
PXD041681,human_annotation,inference,0.2333,0.2333,0.2,0.22220000000000004,0.019225763964014535,0.033299999999999996
PXD041681,human_annotation,strict,0.2667,0.2667,0.2667,0.2667,0.0,0.0
PXD042574,hamlet_harmonized,inference,0.7619,0.7143,0.8571,0.7777666666666666,0.07271020102663263,0.14279999999999993
PXD042574,hamlet_harmonized,strict,0.8095,0.8571,0.9048,0.8571333333333332,0.047650008744315415,0.09530000000000005
PXD042574,hamlet_raw,inference,0.7619,0.7143,0.8571,0.7777666666666666,0.07271020102663263,0.14279999999999993
PXD042574,hamlet_raw,strict,0.8095,0.8571,0.9048,0.8571333333333332,0.047650008744315415,0.09530000000000005
PXD042574,human_annotation,inference,0.8824,0.8235,0.8824,0.8627666666666666,0.03400593085526893,0.05889999999999995
PXD042574,human_annotation,strict,0.8235,0.8235,0.8235,0.8235,0.0,0.0
PXD043392,hamlet_harmonized,inference,0.4,0.4667,0.4667,0.44446666666666673,0.038509262954948026,0.06669999999999998
PXD043392,hamlet_harmonized,strict,0.5333,0.3333,0.5333,0.4666333333333334,0.11547005383792516,0.2
PXD043392,hamlet_raw,inference,0.7,0.8,0.8,0.7666666666666666,0.05773502691896263,0.10000000000000009
PXD043392,hamlet_raw,strict,0.9,0.6,0.9,0.7999999999999999,0.17320508075688776,0.30000000000000004
PXD043392,human_annotation,inference,0.2727,0.2727,0.2727,0.2727,0.0,0.0
PXD043392,human_annotation,strict,0.2727,0.2727,0.2727,0.2727,0.0,0.0
PXD060381,hamlet_harmonized,inference,0.8696,0.8261,0.8696,0.8551000000000001,0.025114736709748776,0.043500000000000094
PXD060381,hamlet_harmonized,strict,1.0,1.0,0.913,0.9710000000000001,0.05022947341949742,0.08699999999999997
PXD060381,hamlet_raw,inference,0.8696,0.8261,0.8696,0.8551000000000001,0.025114736709748776,0.043500000000000094
PXD060381,hamlet_raw,strict,1.0,1.0,0.913,0.9710000000000001,0.05022947341949742,0.08699999999999997
PXD060381,human_annotation,inference,0.7333,0.7333,0.6667,0.7111,0.03845152792802907,0.06659999999999999
PXD060381,human_annotation,strict,0.7333,0.8,0.6,0.7111000000000001,0.1018313802322251,0.20000000000000007
