paper_id,source,mode,total_extracted,judge_n_correct,judge_n_hallucinated,judge_accuracy,judge_accuracy_adjusted,mean_unanimous_rate,mean_unanimous_category_rate
PXD022741,hamlet_harmonized,strict,23,19,1,0.8260869565217391,0.8260869565217391,0.8695652173913043,0.782608695652174
PXD022741,hamlet_raw,inference,22,21,0,0.9545454545454546,0.9545454545454546,0.9090909090909091,0.8636363636363636
PXD022741,hamlet_raw,strict,22,21,1,0.9545454545454546,0.9545454545454546,0.8636363636363636,0.8636363636363636
PXD022741,human_annotation,inference,42,12,28,0.2857142857142857,0.2857142857142857,0.9523809523809523,0.9047619047619048
PXD022741,human_annotation,strict,42,12,28,0.2857142857142857,0.2857142857142857,0.9523809523809523,0.9523809523809523
PXD026287,hamlet_harmonized,inference,19,14,0,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.7894736842105263
PXD026287,hamlet_harmonized,strict,19,14,0,0.7368421052631579,0.7368421052631579,0.8421052631578947,0.8947368421052632
PXD026287,hamlet_raw,inference,17,16,0,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.8235294117647058
PXD026287,hamlet_raw,strict,17,16,0,0.9411764705882353,0.9411764705882353,0.8823529411764706,0.9411764705882353
PXD026287,human_annotation,inference,73,8,60,0.1095890410958904,0.1095890410958904,0.9726027397260274,0.8904109589041096
PXD026287,human_annotation,strict,73,8,63,0.1095890410958904,0.1095890410958904,0.9726027397260274,0.9315068493150684
PXD028781,hamlet_harmonized,inference,23,19,0,0.8260869565217391,0.8260869565217391,1.0,0.9130434782608695
PXD028781,hamlet_harmonized,strict,23,19,0,0.8260869565217391,0.8260869565217391,1.0,0.9565217391304348
PXD028781,hamlet_raw,inference,22,21,0,0.9545454545454546,0.9545454545454546,1.0,0.9090909090909091
PXD028781,hamlet_raw,strict,22,21,0,0.9545454545454546,0.9545454545454546,1.0,0.9545454545454546
PXD028781,human_annotation,inference,21,17,0,0.8095238095238095,0.8095238095238095,1.0,1.0
PXD028781,human_annotation,strict,21,16,0,0.7619047619047619,0.7619047619047619,0.9523809523809523,0.8095238095238095
PXD029966,hamlet_harmonized,inference,26,19,0,0.7307692307692307,0.7307692307692307,1.0,1.0
PXD029966,hamlet_harmonized,strict,26,18,0,0.6923076923076923,0.6923076923076923,0.9615384615384616,0.8846153846153846
PXD029966,hamlet_raw,inference,25,22,0,0.88,0.88,1.0,1.0
PXD029966,hamlet_raw,strict,25,22,0,0.88,0.88,0.96,0.92
PXD029966,human_annotation,inference,15,9,1,0.6,0.6,1.0,0.9333333333333333
PXD029966,human_annotation,strict,15,9,1,0.6,0.6,1.0,0.8666666666666667
PXD029997,hamlet_harmonized,inference,21,16,0,0.7619047619047619,0.7619047619047619,0.9047619047619048,0.8095238095238095
PXD029997,hamlet_harmonized,strict,21,16,0,0.7619047619047619,0.7619047619047619,0.9047619047619048,0.9047619047619048
PXD029997,hamlet_raw,inference,20,18,0,0.9,0.9,0.9,0.8
PXD029997,hamlet_raw,strict,20,18,0,0.9,0.9,0.9,0.9
PXD029997,human_annotation,inference,18,16,1,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8888888888888888
PXD029997,human_annotation,strict,18,16,0,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.8333333333333334
PXD030403,hamlet_harmonized,inference,16,16,0,1.0,1.0,1.0,0.9375
PXD030403,hamlet_harmonized,strict,16,16,0,1.0,1.0,1.0,0.9375
PXD030403,hamlet_raw,inference,16,16,0,1.0,1.0,1.0,0.9375
