accession,has_pmc,has_by,has_sdrf
PXD015849,True,False,False
PXD001274,False,False,False
PXD014516,False,False,False
PRD000744,True,False,False
PXD014578,True,True,False
PXD001272,False,False,False
PXD014576,False,False,False
PXD014574,False,False,False
PXD013245,True,True,False
PXD014575,False,False,False
PXD001275,False,False,False
PXD013244,False,False,False
PXD003859,False,False,False
PXD015850,True,True,False
PXD014521,False,False,False
PXD003856,False,False,False
PXD003854,True,False,False
PXD001201,False,False,False
PXD001200,False,False,False
PXD014515,True,True,False
PXD003860,False,False,False
PXD001202,False,False,False
PXD003864,False,False,False
PXD002530,True,True,False
PXD002529,True,True,False
PXD002533,True,False,False
PRD000759,False,False,False
PXD002528,False,False,False
PXD002523,False,False,False
PXD002525,False,False,False
PXD014506,True,True,False
PXD014522,True,True,False
PXD003863,False,False,False
PXD001211,False,False,False
PXD002544,False,False,False
PRD000755,False,False,False
PXD002532,True,True,False
PXD001210,True,False,False
PXD003874,False,False,False
PXD014504,True,True,False
PXD003870,True,True,False
PXD003875,False,False,False
PXD001208,False,False,False
PXD014508,True,True,False
PXD002543,True,True,False
PXD003871,True,False,False
PXD001207,False,False,False
PXD002538,True,False,False
PXD002540,True,True,False
PXD001213,False,False,False
PXD001204,True,True,False
PXD001212,False,False,False
PXD002539,True,True,False
PXD002541,True,True,False
PRD000753,False,False,False
PXD001203,True,True,False
PXD014505,True,True,False
PXD002536,True,False,False
PXD003872,False,False,False
PXD001206,True,True,False
PRD000754,False,False,False
PXD002542,True,True,False
PXD002534,False,False,False
PXD014511,False,False,False
PXD003868,False,False,False
PRD000728,True,True,False
PXD001205,True,True,False
PXD014512,True,False,False
PRD000726,False,False,False
PRD000727,False,False,False
PRD000722,False,False,False
PXD002537,False,False,False
PXD014536,False,False,False
PRD000721,False,False,False
PXD001221,False,False,False
PXD013209,True,True,False
PXD001224,False,False,False
PXD002555,True,True,False
PXD003884,False,False,False
PXD003881,False,False,False
PXD014535,False,False,False
PXD001218,True,True,False
