pxd,in_pride_cache,instruments_raw,instruments_text,instruments_present
PXD055157,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD055741,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003378', 'name': 'Orbitrap Astral'}]",Orbitrap Astral (MS:1003378),yes
PXD055868,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003028', 'name': 'Orbitrap Exploris 480'}]",Orbitrap Exploris 480 (MS:1003028),yes
PXD055950,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003028', 'name': 'Orbitrap Exploris 480'}]",Orbitrap Exploris 480 (MS:1003028),yes
PXD056030,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003028', 'name': 'Orbitrap Exploris 480'}, {'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1003005', 'name': 'timsTOF Pro'}]",Orbitrap Exploris 480 (MS:1003028) | timsTOF Pro (MS:1003005),yes
PXD056039,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000449', 'name': 'LTQ Orbitrap'}]",LTQ Orbitrap (MS:1000449),yes
PXD056191,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF'}]",Q Exactive HF (MS:1002523),yes
PXD056565,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
PXD056757,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1000449', 'name': 'LTQ Orbitrap'}]",LTQ Orbitrap (MS:1000449),yes
PXD056970,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002523', 'name': 'Q Exactive HF', 'value': ''}]",Q Exactive HF (MS:1002523),yes
PXD057808,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1002634', 'name': 'Q Exactive Plus'}]",Q Exactive Plus (MS:1002634),yes
PXD057905,yes,"[{'@type': 'CvParam', 'cvLabel': 'MS', 'accession': 'MS:1001911', 'name': 'Q Exactive'}]",Q Exactive (MS:1001911),yes
