pxd,in_pride_cache,experimentTypes_raw,projectTags_raw,experimentTypes_text,projectTags_text,experiment_or_tag_present
PXD016385,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",[],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,yes
PXD016814,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD016858,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000427', 'name': 'Top-down proteomics'}]",[],Top-down proteomics (PRIDE:0000427),,yes
PXD016919,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000305', 'name': 'Gel-based experiment'}]",[],Gel-based experiment (PRIDE:0000305),,yes
PXD017229,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD017293,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD017347,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD017351,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",[],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,yes
PXD017376,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000305', 'name': 'Gel-based experiment'}]",[],Gel-based experiment (PRIDE:0000305),,yes
PXD017670,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000305', 'name': 'Gel-based experiment'}]",[],Gel-based experiment (PRIDE:0000305),,yes
PXD017772,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",[],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,yes
PXD018021,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD018112,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD018749,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000305', 'name': 'Gel-based experiment'}]",[],Gel-based experiment (PRIDE:0000305),,yes
PXD018851,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD019119,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]","['Sars-cov-2', 'Covid-19']",Shotgun proteomics (PRIDE:0000429),Sars-cov-2 | Covid-19,yes
PXD019302,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD019412,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD019470,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000305', 'name': 'Gel-based experiment'}]",[],Gel-based experiment (PRIDE:0000305),,yes
PXD020090,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000433', 'name': 'Affinity purification coupled with mass spectrometry proteomics'}]",[],Affinity purification coupled with mass spectrometry proteomics (PRIDE:0000433),,yes
PXD020190,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD020332,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD020418,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000430', 'name': 'Chemical cross-linking coupled with mass spectrometry proteomics'}]",[],Chemical cross-linking coupled with mass spectrometry proteomics (PRIDE:0000430),,yes
PXD020482,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000311', 'name': 'SRM/MRM'}, {'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],SRM/MRM (PRIDE:0000311) | Shotgun proteomics (PRIDE:0000429),,yes
PXD020585,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000427', 'name': 'Top-down proteomics'}]",[],Top-down proteomics (PRIDE:0000427),,yes
PXD020819,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD021039,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000305', 'name': 'Gel-based experiment'}]",[],Gel-based experiment (PRIDE:0000305),,yes
PXD021186,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD021192,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
PXD021328,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]","['Sars-cov-2', 'Covid-19']",Shotgun proteomics (PRIDE:0000429),Sars-cov-2 | Covid-19,yes
PXD021423,yes,"[{'@type': 'CvParam', 'cvLabel': 'PRIDE', 'accession': 'PRIDE:0000429', 'name': 'Shotgun proteomics'}]",[],Shotgun proteomics (PRIDE:0000429),,yes
