accession,pubmed_id,pmc_id,raw_file_count,organism,experiment_types,Reannotated,Reannotation_QC
PXD000509,24312330.0,PMC3842259,1,Escherichia coli,Bottom-up proteomics,True,False
PXD026897,34781893.0,PMC8594166,1,Oncorhynchus mykiss (rainbow trout) (salmo gairdneri),Shotgun proteomics,True,False
PXD027269,34912214.0,PMC8667870,1,Homo sapiens (human),All-ion fragmentation,True,False
PXD039587,36871047.0,PMC9985628,1,Rattus norvegicus (rat),Gel-based experiment,True,False
PXD023558,33859415.0,PMC8763319,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD055115,39950344.0,PMC11826092,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD055130,39950344.0,PMC11826092,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD018090,33706811.0,PMC7948361,1,Mus musculus (mouse),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD048205,39188014.0,PMC11347159,1,Escherichia coli; Caenorhabditis elegans,Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD032086,36248738.0,PMC9556930,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD027232,34604215.0,PMC8484718,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD026071,34103528.0,PMC8187744,1,Homo sapiens (human),Gel-based experiment,True,False
PXD031565,35333152.0,PMC9558348,1,Pseudomonas aeruginosa group,Shotgun proteomics,True,False
PXD034434,37489617.0,PMC10481664,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD012779,32244485.0,PMC7230167,1,Megabalanus volcano,Shotgun proteomics,True,False
PXD027051,34368150.0,PMC8343581,1,Homo sapiens (human),Gel-based experiment,True,False
PXD029837,37652240.0,PMC7618162,1,Trypanosoma brucei,Top-down proteomics,True,False
PXD041633,40381624.0,PMC12456964,1,Mus musculus (mouse),Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,True,False
PXD055880,40995127.0,PMC12454342,1,Homo sapiens (human),mass spectrometry imaging,True,False
PXD000460,24591590.0,PMC3964051,1,Unidentified,Bottom-up proteomics,True,False
PXD001154,25074979.0,PMC4161976,1,Homo sapiens (human),Affinity purification coupled with mass spectrometry proteomics,True,False
PXD037898,36498688.0,PMC9737388,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD041119,37858678.0,PMC10654028,1,Homo sapiens (human),Gel-based experiment,True,False
PXD050084,38758807.0,PMC11334715,1,Mus musculus (mouse),Bottom-up proteomics,True,False
PXD050739,39716856.0,PMC11809339,1,Homo sapiens (human),Bottom-up proteomics; Data-dependent acquisition,True,False
PXD032302,35614983.0,PMC9125247,1,Homo sapiens (human),mass spectrometry imaging; All-ion fragmentation,True,False
PXD010783,30297838.0,PMC6175828,1,Homo sapiens (human),Chemical cross-linking coupled with mass spectrometry proteomics,True,False
PXD006705,29556515.0,PMC5854290,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD027841,34535749.0,PMC8448870,1,Homo sapiens (human),Gel-based experiment,True,False
PXD000440,24298013.0,PMC3950894,1,Homo sapiens (human),Bottom-up proteomics,True,False
PXD055882,40721659.0,PMC12436159,1,Homo sapiens (human),Top-down proteomics,True,False
PXD059166,41015045.0,PMC12919672,1,Bacteroides fragilis (strain atcc 25285 / nctc 9343),Bottom-up proteomics; Data-dependent acquisition,True,False
PXD028851,34688666.0,PMC8573170,1,Xenopsylla cheopis,Shotgun proteomics,True,False
PXD024501,34562309.0,PMC8505828,1,Mus musculus (mouse),Shotgun proteomics,True,False
PXD018693,32630016.0,PMC7407881,1,Bos taurus (bovine),Shotgun proteomics,True,False
PXD044759,38377575.0,PMC10913102,1,Unclassified chromatiaceae,Shotgun proteomics,True,False
PXD016378,31901862.0,PMC6950786,1,Homo sapiens (human),Shotgun proteomics,True,False
PXD006144,28978645.0,PMC5712622,1,Mus musculus (mouse),Shotgun proteomics,True,False
PXD006106,28575672.0,PMC5457488,1,Homo sapiens (human),SWATH MS,True,False
