accession,pubmed_id,pmc_id,raw_file_count,organism,taxids,experiment_types,pub_license,Reannotated,Reannotation_QC
PXD007587,29028897.0,PMC6192206,121,Escherichia coli,562,Shotgun proteomics,CC BY,False,False
PXD006253,31396628.0,PMC6878950,0,Stichodactyla haddoni,475174,Shotgun proteomics; Gel-based experiment,CC BY,False,False
PXD006251,28580955.0,PMC5465375,152,Mus musculus (mouse),10090,Gel-based experiment,CC BY,False,False
PXD007585,31403400.0,PMC6739877,6,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD006268,28604699.0,PMC5472780,8,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD006266,29141230.0,PMC5700370,88,Plasmodium berghei anka; Mus musculus (mouse),5823; 10090,Shotgun proteomics,CC BY,False,False
PXD007590,29444071.0,PMC5828529,9,Saccharomyces cerevisiae (baker's yeast),4932,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD007592,29541007.0,PMC5844114,36,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD007595,29615075.0,PMC5883539,12,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD006279,28439590.0,PMC6034444,32,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD007594,29018234.0,PMC5635026,49,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD006280,29509190.0,PMC5839158,6,Homo sapiens (human),9606,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD006272,28497289.0,PMC5427063,6,Yarrowia lipolytica (candida lipolytica),4952,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD006285,29731745.0,PMC5920020,0,Staphylococcus aureus,1280,Shotgun proteomics,CC BY,False,False
PXD006281,29184101.0,PMC5705676,70,Paenibacillus amylolyticus; Xanthomonas retroflexus; Microbacterium oxydans; Stenotrophomonas rhizophila,1451; 305959; 82380; 216778,Shotgun proteomics,CC BY,False,False
PXD007542,31511529.0,PMC6739412,75,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD007543,29032073.0,PMC5660599,24,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD006212,28569760.0,PMC5461506,0,Homo sapiens (human),9606,Gel-based experiment,CC BY,False,False
PXD006209,28546582.0,PMC5729345,96,Mus musculus (mouse),10090,Shotgun proteomics,CC BY,False,False
PXD008884,30359315.0,PMC6202851,6,Equus caballus (horse),9796,Shotgun proteomics,CC BY,False,False
PXD006216,29090099.0,PMC5661608,30,Mus musculus (mouse),10090,Gel-based experiment,CC BY,False,False
PXD006224,29078812.0,PMC5659009,84,Bacteria; Sus scrofa domesticus (domestic pig),2; 9825,Shotgun proteomics,CC BY,False,False
PXD008871,31170911.0,PMC6554998,0,Carica papaya,3649,Shotgun proteomics,CC BY,False,False
PXD007555,30496192.0,PMC6264484,36,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD006225,28916541.0,PMC5615923,92,Drosophila melanogaster (fruit fly),7227,Shotgun proteomics,CC BY,False,False
PXD008881,29950687.0,PMC6021402,25,Spinacia oleracea; Escherichia coli; Homo sapiens (human),3562; 562; 9606,Top-down proteomics; Shotgun proteomics,CC BY,False,False
PXD006227,29069483.0,PMC5909860,0,Mus musculus (mouse),10090,Shotgun proteomics,CC BY-NC,False,False
PXD006233,28865468.0,PMC5581431,378,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD008896,29511296.0,PMC5840295,23,Homo sapiens (human),9606,Shotgun proteomics; Gel-based experiment; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD008882,29565292.0,PMC6027131,17,Panicum virgatum (switchgrass),38727,Top-down proteomics,CC BY,False,False
PXD006235,28898199.0,PMC5595437,6,Toxoplasma gondii,5811,Shotgun proteomics,CC BY,False,False
PXD008898,30867486.0,PMC6416353,0,Homo sapiens (human),9606,SWATH MS,CC BY,False,False
PXD008897,29651020.0,PMC5897347,3,Homo sapiens (human),9606,Gel-based experiment,CC BY,False,False
PXD007567,29125539.0,PMC5707544,33,Cowpox virus (cpv),10243,Shotgun proteomics,CC BY,False,False
PXD007569,29967323.0,PMC6028636,12,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD008894,31333417.0,PMC6624735,22,Homo sapiens (human),9606,Shotgun proteomics,CC BY,False,False
PXD007564,28985225.0,PMC5646874,4,Plasmodium falciparum (isolate 3d7),36329,Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD008892,30890939.0,PMC6411851,0,Homo sapiens (human),9606,HDMSE,CC BY,False,False
PXD008891,30301925.0,PMC6177456,0,Homo sapiens (human),9606,SWATH MS,CC BY,False,False
PXD006249,29093463.0,PMC5665977,42,Saccharomyces cerevisiae (baker's yeast),4932,Shotgun proteomics; Affinity purification coupled with mass spectrometry proteomics,CC BY,False,False
PXD014716,32245408.0,PMC7119165,0,Homo sapiens (human),9606,SWATH MS,CC BY,False,False
PXD002727,26758180.0,PMC4725006,133,Cryptococcus neoformans var. grubii serotype a (strain h99 / atcc 208821 / cbs 10515 / fgsc 9487) (filobasidiella neoformans var. grubii),235443,Shotgun proteomics,CC BY-NC-SA,False,False
PXD006240,28899994.0,PMC5674897,97,Mus musculus (mouse),10090,SWATH MS; Shotgun proteomics,CC BY-NC-SA,False,False
